題號,題目(英),選項(英),正確答案,答案備註,解析(中),題目(中),選項(中)
733,"An ecommerce company runs applications in AWS accounts that are part of an organization in AWS Organizations. The applications run on
Amazon Aurora PostgreSQL databases across all the accounts. The company needs to prevent malicious activity and must identify abnormal
failed and incomplete login attempts to the databases.
Which solution will meet these requirements in the MOST operationally ecient way?","A. Attach service control policies (SCPs) to the root of the organization to identity the failed login attempts.
B. Enable the Amazon RDS Protection feature in Amazon GuardDuty for the member accounts of the organization.
C. Publish the Aurora general logs to a log group in Amazon CloudWatch Logs. Export the log data to a central Amazon S3 bucket.
D. Publish all the Aurora PostgreSQL database events in AWS CloudTrail to a central Amazon S3 bucket.",B,B (100% community votes),,,
734,"A company has an AWS Direct Connect connection from its corporate data center to its VPC in the us-east-1 Region. The company recently
acquired a corporation that has several VPCs and a Direct Connect connection between its on-premises data center and the eu-west-2 Region.
The CIDR blocks for the VPCs of the company and the corporation do not overlap. The company requires connectivity between two Regions
and the data centers. The company needs a solution that is scalable while reducing operational overhead.
What should a solutions architect do to meet these requirements?","A. Set up inter-Region VPC peering between the VPC in us-east-1 and the VPCs in eu-west-2.
B. Create private virtual interfaces from the Direct Connect connection in us-east-1 to the VPCs in eu-west-2.
C. Establish VPN appliances in a fully meshed VPN network hosted by Amazon EC2. Use AWS VPN CloudHub to send and receive data
between the data centers and each VPC.
D. Connect the existing Direct Connect connection to a Direct Connect gateway. Route trac from the virtual private gateways of the VPCs
in each Region to the Direct Connect gateway.",D,D (100% community votes),,,
735,"A company is developing a mobile game that streams score updates to a backend processor and then posts results on a leaderboard. A
solutions architect needs to design a solution that can handle large trac spikes, process the mobile game updates in order of receipt, and
store the processed updates in a highly available database. The company also wants to minimize the management overhead required to
maintain the solution.
What should the solutions architect do to meet these requirements?","A. Push score updates to Amazon Kinesis Data Streams. Process the updates in Kinesis Data Streams with AWS Lambda. Store the
processed updates in Amazon DynamoDB.
B. Push score updates to Amazon Kinesis Data Streams. Process the updates with a eet of Amazon EC2 instances set up for Auto
Scaling. Store the processed updates in Amazon Redshift.
C. Push score updates to an Amazon Simple Notication Service (Amazon SNS) topic. Subscribe an AWS Lambda function to the SNS topic
to process the updates. Store the processed updates in a SQL database running on Amazon EC2.
D. Push score updates to an Amazon Simple Queue Service (Amazon SQS) queue. Use a eet of Amazon EC2 instances with Auto Scaling
to process the updates in the SQS queue. Store the processed updates in an Amazon RDS Multi-AZ DB instance.",A,A (100% community votes),,,
736,"A company has multiple AWS accounts with applications deployed in the us-west-2 Region. Application logs are stored within Amazon S3
buckets in each account. The company wants to build a centralized log analysis solution that uses a single S3 bucket. Logs must not leave us-
west-2, and the company wants to incur minimal operational overhead.
Which solution meets these requirements and is MOST cost-effective?","A. Create an S3 Lifecycle policy that copies the objects from one of the application S3 buckets to the centralized S3 bucket.
B. Use S3 Same-Region Replication to replicate logs from the S3 buckets to another S3 bucket in us-west-2. Use this S3 bucket for log
analysis.
C. Write a script that uses the PutObject API operation every day to copy the entire contents of the buckets to another S3 bucket in us-
west-2. Use this S3 bucket for log analysis.
D. Write AWS Lambda functions in these accounts that are triggered every time logs are delivered to the S3 buckets (s3:ObjectCreated:*
event). Copy the logs to another S3 bucket in us-west-2. Use this S3 bucket for log analysis.",B,B (100% community votes),,,
737,"A company has an application that delivers on-demand training videos to students around the world. The application also allows authorized
content developers to upload videos. The data is stored in an Amazon S3 bucket in the us-east-2 Region.
The company has created an S3 bucket in the eu-west-2 Region and an S3 bucket in the ap-southeast-1 Region. The company wants to
replicate the data to the new S3 buckets. The company needs to minimize latency for developers who upload videos and students who stream
videos near eu-west-2 and ap-southeast-1.
Which combination of steps will meet these requirements with the FEWEST changes to the application? (Choose two.)","A. Congure one-way replication from the us-east-2 S3 bucket to the eu-west-2 S3 bucket. Congure one-way replication from the us-east-2
S3 bucket to the ap-southeast-1 S3 bucket.
B. Congure one-way replication from the us-east-2 S3 bucket to the eu-west-2 S3 bucket. Congure one-way replication from the eu-west-
2 S3 bucket to the ap-southeast-1 S3 bucket.
C. Congure two-way (bidirectional) replication among the S3 buckets that are in all three Regions.
D. Create an S3 Multi-Region Access Point. Modify the application to use the Amazon Resource Name (ARN) of the Multi-Region Access
Point for video streaming. Do not modify the application for video uploads.
E. Create an S3 Multi-Region Access Point. Modify the application to use the Amazon Resource Name (ARN) of the Multi-Region Access
Point for video streaming and uploads.",AB,AB (PDF answer),,,
738,"A company has a new mobile app. Anywhere in the world, users can see local news on topics they choose. Users also can post photos and
videos from inside the app.
Users access content often in the rst minutes after the content is posted. New content quickly replaces older content, and then the older
content disappears. The local nature of the news means that users consume 90% of the content within the AWS Region where it is uploaded.
Which solution will optimize the user experience by providing the LOWEST latency for content uploads?","A. Upload and store content in Amazon S3. Use Amazon CloudFront for the uploads.
B. Upload and store content in Amazon S3. Use S3 Transfer Acceleration for the uploads.
C. Upload content to Amazon EC2 instances in the Region that is closest to the user. Copy the data to Amazon S3.
D. Upload and store content in Amazon S3 in the Region that is closest to the user. Use multiple distributions of Amazon CloudFront.",B,B (93% community votes),,,
739,"A company is building a new application that uses serverless architecture. The architecture will consist of an Amazon API Gateway REST API
and AWS Lambda functions to manage incoming requests.
The company wants to add a service that can send messages received from the API Gateway REST API to multiple target Lambda functions for
processing. The service must offer message ltering that gives the target Lambda functions the ability to receive only the messages the
functions need.
Which solution will meet these requirements with the LEAST operational overhead?","A. Send the requests from the API Gateway REST API to an Amazon Simple Notication Service (Amazon SNS) topic. Subscribe Amazon
Simple Queue Service (Amazon SQS) queues to the SNS topic. Congure the target Lambda functions to poll the different SQS queues.
B. Send the requests from the API Gateway REST API to Amazon EventBridge. Congure EventBridge to invoke the target Lambda
functions.
C. Send the requests from the API Gateway REST API to Amazon Managed Streaming for Apache Kafka (Amazon MSK). Congure Amazon
MSK to publish the messages to the target Lambda functions.
D. Send the requests from the API Gateway REST API to multiple Amazon Simple Queue Service (Amazon SQS) queues. Congure the
target Lambda functions to poll the different SQS queues.",A,A (68% community votes),,,
740,"A company migrated millions of archival les to Amazon S3. A solutions architect needs to implement a solution that will encrypt all the
archival data by using a customer-provided key. The solution must encrypt existing unencrypted objects and future objects.
Which solution will meet these requirements?","A. Create a list of unencrypted objects by ltering an Amazon S3 Inventory report. Congure an S3 Batch Operations job to encrypt the
objects from the list with a server-side encryption with a customer-provided key (SSE-C). Congure the S3 default encryption feature to
use a server-side encryption with a customer-provided key (SSE-C).
B. Use S3 Storage Lens metrics to identify unencrypted S3 buckets. Congure the S3 default encryption feature to use a server-side
encryption with AWS KMS keys (SSE-KMS).
C. Create a list of unencrypted objects by ltering the AWS usage report for Amazon S3. Congure an AWS Batch job to encrypt the objects
from the list with a server-side encryption with AWS KMS keys (SSE-KMS). Congure the S3 default encryption feature to use a server-side
encryption with AWS KMS keys (SSE-KMS).
D. Create a list of unencrypted objects by ltering the AWS usage report for Amazon S3. Congure the S3 default encryption feature to use
a server-side encryption with a customer-provided key (SSE-C).",A,A (100% community votes),,,
741,"The DNS provider that hosts a company's domain name records is experiencing outages that cause service disruption for a website running on
AWS. The company needs to migrate to a more resilient managed DNS service and wants the service to run on AWS.
What should a solutions architect do to rapidly migrate the DNS hosting service?","A. Create an Amazon Route 53 public hosted zone for the domain name. Import the zone le containing the domain records hosted by the
previous provider.
B. Create an Amazon Route 53 private hosted zone for the domain name. Import the zone le containing the domain records hosted by the
previous provider.
C. Create a Simple AD directory in AWS. Enable zone transfer between the DNS provider and AWS Directory Service for Microsoft Active
Directory for the domain records.
D. Create an Amazon Route 53 Resolver inbound endpoint in the VPC. Specify the IP addresses that the provider's DNS will forward DNS
queries to. Congure the provider's DNS to forward DNS queries for the domain to the IP addresses that are specied in the inbound
endpoint.",A,A (100% community votes),,,
742,"A company is building an application on AWS that connects to an Amazon RDS database. The company wants to manage the application
conguration and to securely store and retrieve credentials for the database and other services.
Which solution will meet these requirements with the LEAST administrative overhead?","A. Use AWS AppCong to store and manage the application conguration. Use AWS Secrets Manager to store and retrieve the credentials.
B. Use AWS Lambda to store and manage the application conguration. Use AWS Systems Manager Parameter Store to store and retrieve
the credentials.
C. Use an encrypted application conguration le. Store the le in Amazon S3 for the application conguration. Create another S3 le to
store and retrieve the credentials.
D. Use AWS AppCong to store and manage the application conguration. Use Amazon RDS to store and retrieve the credentials.",A,A (100% community votes),,,
743,"To meet security requirements, a company needs to encrypt all of its application data in transit while communicating with an Amazon RDS
MySQL DB instance. A recent security audit revealed that encryption at rest is enabled using AWS Key Management Service (AWS KMS), but
data in transit is not enabled.
What should a solutions architect do to satisfy the security requirements?","A. Enable IAM database authentication on the database.
B. Provide self-signed certicates. Use the certicates in all connections to the RDS instance.
C. Take a snapshot of the RDS instance. Restore the snapshot to a new instance with encryption enabled.
D. Download AWS-provided root certicates. Provide the certicates in all connections to the RDS instance.",D,D (81% community votes),,,
744,"A company is designing a new web service that will run on Amazon EC2 instances behind an Elastic Load Balancing (ELB) load balancer.
However, many of the web service clients can only reach IP addresses authorized on their rewalls.
What should a solutions architect recommend to meet the clients’ needs?","A. A Network Load Balancer with an associated Elastic IP address.
B. An Application Load Balancer with an associated Elastic IP address.
C. An A record in an Amazon Route 53 hosted zone pointing to an Elastic IP address.
D. An EC2 instance with a public IP address running as a proxy in front of the load balancer.",A,A (92% community votes),,,
745,"A company has established a new AWS account. The account is newly provisioned and no changes have been made to the default settings.
The company is concerned about the security of the AWS account root user.
What should be done to secure the root user?","A. Create IAM users for daily administrative tasks. Disable the root user.
B. Create IAM users for daily administrative tasks. Enable multi-factor authentication on the root user.
C. Generate an access key for the root user. Use the access key for daily administration tasks instead of the AWS Management Console.
D. Provide the root user credentials to the most senior solutions architect. Have the solutions architect use the root user for daily
administration tasks.",B,B (100% community votes),,,
746,"A company is deploying an application that processes streaming data in near-real time. The company plans to use Amazon EC2 instances for
the workload. The network architecture must be congurable to provide the lowest possible latency between nodes.
Which combination of network solutions will meet these requirements? (Choose two.)","A. Enable and congure enhanced networking on each EC2 instance.
B. Group the EC2 instances in separate accounts.
C. Run the EC2 instances in a cluster placement group.
D. Attach multiple elastic network interfaces to each EC2 instance.
E. Use Amazon Elastic Block Store (Amazon EBS) optimized instance types.",BE,BE (PDF answer),,,
747,"A nancial services company wants to shut down two data centers and migrate more than 100 TB of data to AWS. The data has an intricate
directory structure with millions of small les stored in deep hierarchies of subfolders. Most of the data is unstructured, and the company’s
le storage consists of SMB-based storage types from multiple vendors. The company does not want to change its applications to access the
data after migration.
What should a solutions architect do to meet these requirements with the LEAST operational overhead?","A. Use AWS Direct Connect to migrate the data to Amazon S3.
B. Use AWS DataSync to migrate the data to Amazon FSx for Lustre.
C. Use AWS DataSync to migrate the data to Amazon FSx for Windows File Server.
D. Use AWS Direct Connect to migrate the data on-premises le storage to an AWS Storage Gateway volume gateway.",C,C (100% community votes),,,
748,"A company uses an organization in AWS Organizations to manage AWS accounts that contain applications. The company sets up a dedicated
monitoring member account in the organization. The company wants to query and visualize observability data across the accounts by using
Amazon CloudWatch.
Which solution will meet these requirements?","A. Enable CloudWatch cross-account observability for the monitoring account. Deploy an AWS CloudFormation template provided by the
monitoring account in each AWS account to share the data with the monitoring account.
B. Set up service control policies (SCPs) to provide access to CloudWatch in the monitoring account under the Organizations root
organizational unit (OU).
C. Congure a new IAM user in the monitoring account. In each AWS account, congure an IAM policy to have access to query and
visualize the CloudWatch data in the account. Attach the new IAM policy to the new IAM user.
D. Create a new IAM user in the monitoring account. Create cross-account IAM policies in each AWS account. Attach the IAM policies to
the new IAM user.",A,A (86% community votes),,,
749,"A company’s website is used to sell products to the public. The site runs on Amazon EC2 instances in an Auto Scaling group behind an
Application Load Balancer (ALB). There is also an Amazon CloudFront distribution, and AWS WAF is being used to protect against SQL
injection attacks. The ALB is the origin for the CloudFront distribution. A recent review of security logs revealed an external malicious IP that
needs to be blocked from accessing the website.
What should a solutions architect do to protect the application?","A. Modify the network ACL on the CloudFront distribution to add a deny rule for the malicious IP address.
B. Modify the conguration of AWS WAF to add an IP match condition to block the malicious IP address.
C. Modify the network ACL for the EC2 instances in the target groups behind the ALB to deny the malicious IP address.
D. Modify the security groups for the EC2 instances in the target groups behind the ALB to deny the malicious IP address.",B,B (81% community votes),,,
750,"A company sets up an organization in AWS Organizations that contains 10 AWS accounts. A solutions architect must design a solution to
provide access to the accounts for several thousand employees. The company has an existing identity provider (IdP). The company wants to
use the existing IdP for authentication to AWS.
Which solution will meet these requirements?","A. Create IAM users for the employees in the required AWS accounts. Connect IAM users to the existing IdP. Congure federated
authentication for the IAM users.
B. Set up AWS account root users with user email addresses and passwords that are synchronized from the existing IdP.
C. Congure AWS IAM Identity Center (AWS Single Sign-On). Connect IAM Identity Center to the existing IdP. Provision users and groups
from the existing IdP.
D. Use AWS Resource Access Manager (AWS RAM) to share access to the AWS accounts with the users in the existing IdP.",C,C (100% community votes),,,
751,"A solutions architect is designing an AWS Identity and Access Management (IAM) authorization model for a company's AWS account. The
company has designated ve specic employees to have full access to AWS services and resources in the AWS account.
The solutions architect has created an IAM user for each of the ve designated employees and has created an IAM user group.
Which solution will meet these requirements?","A. Attach the AdministratorAccess resource-based policy to the IAM user group. Place each of the ve designated employee IAM users in
the IAM user group.
B. Attach the SystemAdministrator identity-based policy to the IAM user group. Place each of the ve designated employee IAM users in
the IAM user group.
C. Attach the AdministratorAccess identity-based policy to the IAM user group. Place each of the ve designated employee IAM users in
the IAM user group.
D. Attach the SystemAdministrator resource-based policy to the IAM user group. Place each of the ve designated employee IAM users in
the IAM user group.",C,C (100% community votes),,,
752,"A company has a multi-tier payment processing application that is based on virtual machines (VMs). The communication between the tiers
occurs asynchronously through a third-party middleware solution that guarantees exactly-once delivery.
The company needs a solution that requires the least amount of infrastructure management. The solution must guarantee exactly-once
delivery for application messaging.
Which combination of actions will meet these requirements? (Choose two.)","A. Use AWS Lambda for the compute layers in the architecture.
B. Use Amazon EC2 instances for the compute layers in the architecture.
C. Use Amazon Simple Notication Service (Amazon SNS) as the messaging component between the compute layers.
D. Use Amazon Simple Queue Service (Amazon SQS) FIFO queues as the messaging component between the compute layers.
E. Use containers that are based on Amazon Elastic Kubernetes Service (Amazon EKS) for the compute layers in the architecture.",AD,AD (PDF answer),,,
753,"A company has a nightly batch processing routine that analyzes report les that an on-premises le system receives daily through SFTP. The
company wants to move the solution to the AWS Cloud. The solution must be highly available and resilient. The solution also must minimize
operational effort.
Which solution meets these requirements?","A. Deploy AWS Transfer for SFTP and an Amazon Elastic File System (Amazon EFS) le system for storage. Use an Amazon EC2 instance in
an Auto Scaling group with a scheduled scaling policy to run the batch operation.
B. Deploy an Amazon EC2 instance that runs Linux and an SFTP service. Use an Amazon Elastic Block Store (Amazon EBS) volume for
storage. Use an Auto Scaling group with the minimum number of instances and desired number of instances set to 1.
C. Deploy an Amazon EC2 instance that runs Linux and an SFTP service. Use an Amazon Elastic File System (Amazon EFS) le system for
storage. Use an Auto Scaling group with the minimum number of instances and desired number of instances set to 1.
D. Deploy AWS Transfer for SFTP and an Amazon S3 bucket for storage. Modify the application to pull the batch les from Amazon S3 to an
Amazon EC2 instance for processing. Use an EC2 instance in an Auto Scaling group with a scheduled scaling policy to run the batch
operation.",A,A (63% community votes),,,
754,"A company has users all around the world accessing its HTTP-based application deployed on Amazon EC2 instances in multiple AWS Regions.
The company wants to improve the availability and performance of the application. The company also wants to protect the application against
common web exploits that may affect availability, compromise security, or consume excessive resources. Static IP addresses are required.
What should a solutions architect recommend to accomplish this?","A. Put the EC2 instances behind Network Load Balancers (NLBs) in each Region. Deploy AWS WAF on the NLBs. Create an accelerator
using AWS Global Accelerator and register the NLBs as endpoints.
B. Put the EC2 instances behind Application Load Balancers (ALBs) in each Region. Deploy AWS WAF on the ALBs. Create an accelerator
using AWS Global Accelerator and register the ALBs as endpoints.
C. Put the EC2 instances behind Network Load Balancers (NLBs) in each Region. Deploy AWS WAF on the NLBs. Create an Amazon
CloudFront distribution with an origin that uses Amazon Route 53 latency-based routing to route requests to the NLBs.
D. Put the EC2 instances behind Application Load Balancers (ALBs) in each Region. Create an Amazon CloudFront distribution with an
origin that uses Amazon Route 53 latency-based routing to route requests to the ALBs. Deploy AWS WAF on the CloudFront distribution.",B,B (83% community votes),,,
755,"A company’s data platform uses an Amazon Aurora MySQL database. The database has multiple read replicas and multiple DB instances
across different Availability Zones. Users have recently reported errors from the database that indicate that there are too many connections.
The company wants to reduce the failover time by 20% when a read replica is promoted to primary writer.
Which solution will meet this requirement?","A. Switch from Aurora to Amazon RDS with Multi-AZ cluster deployment.
B. Use Amazon RDS Proxy in front of the Aurora database.
C. Switch to Amazon DynamoDB with DynamoDB Accelerator (DAX) for read connections.
D. Switch to Amazon Redshift with relocation capability.",B,B (100% community votes),,,
756,"A company stores text les in Amazon S3. The text les include customer chat messages, date and time information, and customer personally
identiable information (PII).
The company needs a solution to provide samples of the conversations to an external service provider for quality control. The external service
provider needs to randomly pick sample conversations up to the most recent conversation. The company must not share the customer PII with
the external service provider. The solution must scale when the number of customer conversations increases.
Which solution will meet these requirements with the LEAST operational overhead?","A. Create an Object Lambda Access Point. Create an AWS Lambda function that redacts the PII when the function reads the le. Instruct
the external service provider to access the Object Lambda Access Point.
B. Create a batch process on an Amazon EC2 instance that regularly reads all new les, redacts the PII from the les, and writes the
redacted les to a different S3 bucket. Instruct the external service provider to access the bucket that does not contain the PII.
B. Create a web application on an Amazon EC2 instance that presents a list of the les, redacts the PII from the les, and allows the
external service provider to download new versions of the les that have the PII redacted.
D. Create an Amazon DynamoDB table. Create an AWS Lambda function that reads only the data in the les that does not contain PII.
Congure the Lambda function to store the non-PII data in the DynamoDB table when a new le is written to Amazon S3. Grant the
external service provider access to the DynamoDB table.",A,A (91% community votes),,,
757,"A company is running a legacy system on an Amazon EC2 instance. The application code cannot be modied, and the system cannot run on
more than one instance. A solutions architect must design a resilient solution that can improve the recovery time for the system.
What should the solutions architect recommend to meet these requirements?","A. Enable termination protection for the EC2 instance.
B. Congure the EC2 instance for Multi-AZ deployment.
C. Create an Amazon CloudWatch alarm to recover the EC2 instance in case of failure.
D. Launch the EC2 instance with two Amazon Elastic Block Store (Amazon EBS) volumes that use RAID congurations for storage
redundancy.",C,C (68% community votes),,,
758,"A company wants to deploy its containerized application workloads to a VPC across three Availability Zones. The company needs a solution
that is highly available across Availability Zones. The solution must require minimal changes to the application.
Which solution will meet these requirements with the LEAST operational overhead?","A. Use Amazon Elastic Container Service (Amazon ECS). Congure Amazon ECS Service Auto Scaling to use target tracking scaling. Set the
minimum capacity to 3. Set the task placement strategy type to spread with an Availability Zone attribute.
B. Use Amazon Elastic Kubernetes Service (Amazon EKS) self-managed nodes. Congure Application Auto Scaling to use target tracking
scaling. Set the minimum capacity to 3.
C. Use Amazon EC2 Reserved Instances. Launch three EC2 instances in a spread placement group. Congure an Auto Scaling group to use
target tracking scaling. Set the minimum capacity to 3.
D. Use an AWS Lambda function. Congure the Lambda function to connect to a VPC. Congure Application Auto Scaling to use Lambda
as a scalable target. Set the minimum capacity to 3.",A,A (100% community votes),,,
759,"A media company stores movies in Amazon S3. Each movie is stored in a single video le that ranges from 1 GB to 10 GB in size.
The company must be able to provide the streaming content of a movie within 5 minutes of a user purchase. There is higher demand for
movies that are less than 20 years old than for movies that are more than 20 years old. The company wants to minimize hosting service costs
based on demand.
Which solution will meet these requirements?","A. Store all media content in Amazon S3. Use S3 Lifecycle policies to move media data into the Infrequent Access tier when the demand
for a movie decreases.
B. Store newer movie video les in S3 Standard. Store older movie video les in S3 Standard-infrequent Access (S3 Standard-IA). When a
user orders an older movie, retrieve the video le by using standard retrieval.
C. Store newer movie video les in S3 Intelligent-Tiering. Store older movie video les in S3 Glacier Flexible Retrieval. When a user orders
an older movie, retrieve the video le by using expedited retrieval.
D. Store newer movie video les in S3 Standard. Store older movie video les in S3 Glacier Flexible Retrieval. When a user orders an older
movie, retrieve the video le by using bulk retrieval.",C,C (50% community votes),,,
760,"A solutions architect needs to design the architecture for an application that a vendor provides as a Docker container image. The container
needs 50 GB of storage available for temporary les. The infrastructure must be serverless.
Which solution meets these requirements with the LEAST operational overhead?","A. Create an AWS Lambda function that uses the Docker container image with an Amazon S3 mounted volume that has more than 50 GB
of space.
B. Create an AWS Lambda function that uses the Docker container image with an Amazon Elastic Block Store (Amazon EBS) volume that
has more than 50 GB of space.
C. Create an Amazon Elastic Container Service (Amazon ECS) cluster that uses the AWS Fargate launch type. Create a task denition for
the container image with an Amazon Elastic File System (Amazon EFS) volume. Create a service with that task denition.
D. Create an Amazon Elastic Container Service (Amazon ECS) cluster that uses the Amazon EC2 launch type with an Amazon Elastic Block
Store (Amazon EBS) volume that has more than 50 GB of space. Create a task denition for the container image. Create a service with
that task denition.",C,C (91% community votes),,,
761,"A company needs to use its on-premises LDAP directory service to authenticate its users to the AWS Management Console. The directory
service is not compatible with Security Assertion Markup Language (SAML).
Which solution meets these requirements?","A. Enable AWS IAM Identity Center (AWS Single Sign-On) between AWS and the on-premises LDAP.
B. Create an IAM policy that uses AWS credentials, and integrate the policy into LDAP.
C. Set up a process that rotates the IAM credentials whenever LDAP credentials are updated.
D. Develop an on-premises custom identity broker application or process that uses AWS Security Token Service (AWS STS) to get short-
lived credentials.",D,D (100% community votes),,,
762,"A company stores multiple Amazon Machine Images (AMIs) in an AWS account to launch its Amazon EC2 instances. The AMIs contain critical
data and congurations that are necessary for the company’s operations. The company wants to implement a solution that will recover
accidentally deleted AMIs quickly and eciently.
Which solution will meet these requirements with the LEAST operational overhead?","A. Create Amazon Elastic Block Store (Amazon EBS) snapshots of the AMIs. Store the snapshots in a separate AWS account.
B. Copy all AMIs to another AWS account periodically.
C. Create a retention rule in Recycle Bin.
D. Upload the AMIs to an Amazon S3 bucket that has Cross-Region Replication.",C,C (100% community votes),,,
763,"A company has 150 TB of archived image data stored on-premises that needs to be moved to the AWS Cloud within the next month. The
company’s current network connection allows up to 100 Mbps uploads for this purpose during the night only.
What is the MOST cost-effective mechanism to move this data and meet the migration deadline?","A. Use AWS Snowmobile to ship the data to AWS.
B. Order multiple AWS Snowball devices to ship the data to AWS.
C. Enable Amazon S3 Transfer Acceleration and securely upload the data.
D. Create an Amazon S3 VPC endpoint and establish a VPN to upload the data.",B,B (100% community votes),,,
764,"A company wants to migrate its three-tier application from on premises to AWS. The web tier and the application tier are running on third-
party virtual machines (VMs). The database tier is running on MySQL.
The company needs to migrate the application by making the fewest possible changes to the architecture. The company also needs a
database solution that can restore data to a specic point in time.
Which solution will meet these requirements with the LEAST operational overhead?","A. Migrate the web tier and the application tier to Amazon EC2 instances in private subnets. Migrate the database tier to Amazon RDS for
MySQL in private subnets.
B. Migrate the web tier to Amazon EC2 instances in public subnets. Migrate the application tier to EC2 instances in private subnets.
Migrate the database tier to Amazon Aurora MySQL in private subnets.
C. Migrate the web tier to Amazon EC2 instances in public subnets. Migrate the application tier to EC2 instances in private subnets.
Migrate the database tier to Amazon RDS for MySQL in private subnets.
D. Migrate the web tier and the application tier to Amazon EC2 instances in public subnets. Migrate the database tier to Amazon Aurora
MySQL in public subnets.",B,B (93% community votes),,,
765,"A development team is collaborating with another company to create an integrated product. The other company needs to access an Amazon
Simple Queue Service (Amazon SQS) queue that is contained in the development team's account. The other company wants to poll the queue
without giving up its own account permissions to do so.
How should a solutions architect provide access to the SQS queue?","A. Create an instance prole that provides the other company access to the SQS queue.
B. Create an IAM policy that provides the other company access to the SQS queue.
C. Create an SQS access policy that provides the other company access to the SQS queue.
D. Create an Amazon Simple Notication Service (Amazon SNS) access policy that provides the other company access to the SQS queue.",C,C (100% community votes),,,
766,"A company’s developers want a secure way to gain SSH access on the company's Amazon EC2 instances that run the latest version of Amazon
Linux. The developers work remotely and in the corporate oce.
The company wants to use AWS services as a part of the solution. The EC2 instances are hosted in a VPC private subnet and access the
internet through a NAT gateway that is deployed in a public subnet.
What should a solutions architect do to meet these requirements MOST cost-effectively?","A. Create a bastion host in the same subnet as the EC2 instances. Grant the ec2:CreateVpnConnection IAM permission to the developers.
Install EC2 Instance Connect so that the developers can connect to the EC2 instances.
B. Create an AWS Site-to-Site VPN connection between the corporate network and the VPC. Instruct the developers to use the Site-to-Site
VPN connection to access the EC2 instances when the developers are on the corporate network. Instruct the developers to set up another
VPN connection for access when they work remotely.
C. Create a bastion host in the public subnet of the VPCongure the security groups and SSH keys of the bastion host to only allow
connections and SSH authentication from the developers’ corporate and remote networks. Instruct the developers to connect through the
bastion host by using SSH to reach the EC2 instances.
D. Attach the AmazonSSMManagedInstanceCore IAM policy to an IAM role that is associated with the EC2 instances. Instruct the
developers to use AWS Systems Manager Session Manager to access the EC2 instances.",D,D (100% community votes),,,
767,"A pharmaceutical company is developing a new drug. The volume of data that the company generates has grown exponentially over the past
few months. The company's researchers regularly require a subset of the entire dataset to be immediately available with minimal lag.
However, the entire dataset does not need to be accessed on a daily basis. All the data currently resides in on-premises storage arrays, and
the company wants to reduce ongoing capital expenses.
Which storage solution should a solutions architect recommend to meet these requirements?","A. Run AWS DataSync as a scheduled cron job to migrate the data to an Amazon S3 bucket on an ongoing basis.
B. Deploy an AWS Storage Gateway le gateway with an Amazon S3 bucket as the target storage. Migrate the data to the Storage Gateway
appliance.
C. Deploy an AWS Storage Gateway volume gateway with cached volumes with an Amazon S3 bucket as the target storage. Migrate the
data to the Storage Gateway appliance.
D. Congure an AWS Site-to-Site VPN connection from the on-premises environment to AWS. Migrate data to an Amazon Elastic File
System (Amazon EFS) le system.",C,C (100% community votes),,,
768,"A company has a business-critical application that runs on Amazon EC2 instances. The application stores data in an Amazon DynamoDB table.
The company must be able to revert the table to any point within the last 24 hours.
Which solution meets these requirements with the LEAST operational overhead?","A. Congure point-in-time recovery for the table.
B. Use AWS Backup for the table.
C. Use an AWS Lambda function to make an on-demand backup of the table every hour.
D. Turn on streams on the table to capture a log of all changes to the table in the last 24 hours. Store a copy of the stream in an Amazon
S3 bucket.",A,A (100% community votes),,,
769,"A company hosts an application used to upload les to an Amazon S3 bucket. Once uploaded, the les are processed to extract metadata,
which takes less than 5 seconds. The volume and frequency of the uploads varies from a few les each hour to hundreds of concurrent
uploads. The company has asked a solutions architect to design a cost-effective architecture that will meet these requirements.
What should the solutions architect recommend?","A. Congure AWS CloudTrail trails to log S3 API calls. Use AWS AppSync to process the les.
B. Congure an object-created event notication within the S3 bucket to invoke an AWS Lambda function to process the les.
C. Congure Amazon Kinesis Data Streams to process and send data to Amazon S3. Invoke an AWS Lambda function to process the les.
D. Congure an Amazon Simple Notication Service (Amazon SNS) topic to process the les uploaded to Amazon S3. Invoke an AWS
Lambda function to process the les.",B,B (100% community votes),,,
770,"A company’s application is deployed on Amazon EC2 instances and uses AWS Lambda functions for an event-driven architecture. The
company uses nonproduction development environments in a different AWS account to test new features before the company deploys the
features to production.
The production instances show constant usage because of customers in different time zones. The company uses nonproduction instances
only during business hours on weekdays. The company does not use the nonproduction instances on the weekends. The company wants to
optimize the costs to run its application on AWS.
Which solution will meet these requirements MOST cost-effectively?","A. Use On-Demand Instances for the production instances. Use Dedicated Hosts for the nonproduction instances on weekends only.
B. Use Reserved Instances for the production instances and the nonproduction instances. Shut down the nonproduction instances when
not in use.
C. Use Compute Savings Plans for the production instances. Use On-Demand Instances for the nonproduction instances. Shut down the
nonproduction instances when not in use.
D. Use Dedicated Hosts for the production instances. Use EC2 Instance Savings Plans for the nonproduction instances.",C,C (100% community votes),,,
